accession	original_accession	description	length	taxonomy	organism	source
KJ547632.1	KJ547632.1	Sewage-associated circular DNA virus-8 isolate SaCV-8_NZ-BS4075-2012, complete genome [Contaminant]	2577		Sewage-associated circular DNA virus-8 Viruses.	Sewage-associated circular DNA virus-8
GQ268816.1	GQ268816.1	Uncultured marine virus clone LongPCR_3 NrdB gene, partial cds; PsaJF, PsaC, PsaA, PsaB, PsaK, and PsaE genes, complete cds; and PsaD gene, partial cds [Contaminant]	6206	Viruses;environmental samples	uncultured marine virus	uncultured marine virus
JX519263.1	JX519263.1	Uncultured Mediterranean phage MEDS1 group fosmid MedDCM-OCT-S13-C2, complete sequence [Contaminant]	39227	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;environmental samples	uncultured Mediterranean phage MEDS1 group	uncultured Mediterranean phage MEDS1 group
AP013538.1	AP013538.1	Uncultured phage_MedDCM-OCT-S45-C4 DNA, complete genome, group G7, isolate: uvMED-CGR-U-MedDCM-OCT-S45-C4 [Contaminant]	44705	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Ashivirus;Ashivirus S45C4	uncultured phage_MedDCM-OCT-S45-C4	uncultured phage_MedDCM-OCT-S45-C4
GU943075.1	GU943075.1	Uncultured phage MedDCM-OCT-S09-C14 genomic sequence [Contaminant]	25613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	uncultured phage MedDCM-OCT-S09-C14	uncultured phage MedDCM-OCT-S09-C14
KM520335.1	KM520335.1	Uncultured virus clone Contig_12399 DNA primase, replicative DNA helicase, hypothetical protein, RP thymidylate synthase, hypothetical proteins, DNA polymerase I, hypothetical proteins, endonuclease, and hypothetical proteins genes, complete cds; and adenosylcobalamin-dependent ribonucleoside-triphosphate reductase gene, partial cds [Contaminant]	9322	Viruses;environmental samples	uncultured virus	uncultured virus
GQ404883.1	GQ404883.1	Virus Chimp162 replication-association protein (rep) gene, partial cds [Contaminant]	469		Virus Chimp162 Viruses.	Virus Chimp162
GQ404869.1	GQ404869.1	Virus PK1813 replication-association protein (rep) gene, partial cds [Contaminant]	385		Virus PK1813 Viruses.	Virus PK1813
GQ404872.1	GQ404872.1	Virus PK2247 replication-association protein (rep) gene, partial cds [Contaminant]	409		Virus PK2247 Viruses.	Virus PK2247
NC_023556.1	NC_023556.1	Achromobacter phage JWAlpha, complete genome [Contaminant]	72329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Schitoviridae;Rothmandenesvirinae;Jwalphavirus;Jwalphavirus jwalpha	Achromobacter phage JWAlpha	Achromobacter phage JWAlpha
NC_017984.1	NC_017984.1	Acinetobacter bacteriophage AP22, complete genome [Contaminant]	46387	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Obolenskvirus;Obolenskvirus AP22	Acinetobacter phage AP22	Acinetobacter phage AP22
HM368260.1	HM368260.1	Acinetobacter phage AB1, complete genome [Contaminant]	45159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Obolenskvirus;Obolenskvirus AB1	Acinetobacter phage AB1	Acinetobacter phage AB1
NC_014661.1	NC_014661.1	Acinetobacter phage Acj61, complete genome [Contaminant]	164093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Twarogvirinae;Lasallevirus;Acinetobacter virus Acj61	Acinetobacter phage Acj61	Acinetobacter phage Acj61
JX976549.1	JX976549.1	Acinetobacter phage IME-AB2, complete genome [Contaminant]	43665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Obolenskvirus;Obolenskvirus AB2	Acinetobacter phage vB_AbaM-IME-AB2	Acinetobacter phage vB_AbaM-IME-AB2
NC_028995.1	NC_028995.1	Acinetobacter phage phiAC-1, complete genome [Contaminant]	43216	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Acinetobacter phage phiAC-1	Acinetobacter phage phiAC-1
NC_025462.1	NC_025462.1	Acinetobacter phage vB_AbaM_Acibel004, complete genome [Contaminant]	99730	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Saclayvirus	Acinetobacter phage vB_AbaM_Acibel004	Acinetobacter phage vB_AbaM_Acibel004
NC_024785.1	NC_024785.1	Acinetobacter phage YMC-13-01-C62, complete genome [Contaminant]	44844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Obolenskvirus;Obolenskvirus AbC62	Acinetobacter phage YMC-13-01-C62	Acinetobacter phage YMC-13-01-C62
NC_027332.1	NC_027332.1	Acinetobacter phage YMC13/03/R2096, complete genome [Contaminant]	98170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Acinetobacter phage YMC13/03/R2096	Acinetobacter phage YMC13/03/R2096
NC_008208.1	NC_008208.1	Aeromonas phage 25, complete genome [Contaminant]	161475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Tulanevirus;Tulanevirus bteighttwo	Aeromonas phage 25	Aeromonas phage 25
NC_005135.1	NC_005135.1	Aeromonas phage 44RR2.8t, complete genome [Contaminant]	173591	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Biquartavirus;Biquartavirus 44RR2	Aeromonas phage 44RR2.8t	Aeromonas phage 44RR2.8t
NC_015251.1	NC_015251.1	Aeromonas phage 65, complete genome [Contaminant]	235229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Emmerichvirinae;Ishigurovirus;Ishigurovirus osborne	Aeromonas phage 65	Aeromonas phage 65
NC_005260.1	NC_005260.1	Aeromonas phage Aeh1, complete genome [Contaminant]	233234	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Cinqassovirus;Cinqassovirus aeh1	Aeromonas phage Aeh1	Aeromonas phage Aeh1
NC_023688.1	NC_023688.1	Aeromonas phage PX29, complete genome [Contaminant]	222006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Angelvirus;Angelvirus px29	Aeromonas phage PX29	Aeromonas phage PX29
NC_019527.1	NC_019527.1	Aeromonas phage vB_AsaM-56, complete genome [Contaminant]	43551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Popoffvirus;Popoffvirus pv56	Aeromonas phage vB_AsaM-56	Aeromonas phage vB_AsaM-56 (phage 56-Popoff)
KC595511.2	KC595511.2	Bacillus phage Basilisk, complete genome [Contaminant]	82008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Sejongvirinae;Basiliskvirus;Basiliskvirus basilisk	Bacillus phage Basilisk	Bacillus phage Basilisk
NC_006557.1	NC_006557.1	Bacillus phage BCJA1c, complete genome [Contaminant]	41092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Jarrellvirus;Jarrellvirus BCAJ1	Bacillus phage BCASJ1c	Bacillus phage BCASJ1c
NC_024216.1	NC_024216.1	Bacillus phage CAM003, complete genome [Contaminant]	160541	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Bastillevirinae;Bastillevirus;Bastillevirus CAM003	Bacillus phage CAM003	Bacillus phage CAM003
NC_023719.1	NC_023719.1	Bacillus phage G, complete genome [Contaminant]	497513	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Donellivirus;Donellivirus gee	Bacillus phage G	Bacillus phage G
NC_011048.1	NC_011048.1	Bacillus phage phi29, complete genome [Contaminant]	19282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Salasmaviridae;Picovirinae;Salasvirus;Salasvirus phi29	Bacillus phage phi29	Bacillus phage phi29
NC_024788.1	NC_024788.1	Bacillus phage Riley, complete genome [Contaminant]	162816	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Bastillevirinae;Bequatrovirus;Bequatrovirus riley	Bacillus phage Riley	Bacillus phage Riley
KC699836.1	KC699836.1	Bacillus phage SIOphi, partial genome [Contaminant]	146698	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Bastillevirinae;Siophivirus;Siophivirus SIOphi	Bacillus phage SIOphi	Bacillus phage SIOphi
AB930182.1	AB930182.1	Bacillus phage SPG24 DNA, contig00001 sequence [Contaminant]	152069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Bastillevirinae;Nitunavirus;Nitunavirus SPG24	Bacillus phage SPG24	Bacillus phage SPG24
NC_019525.1	NC_019525.1	Bdellovibrio phage phi1422, complete genome [Contaminant]	45354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Bdellovibrio phage phi1422	Bdellovibrio phage phi1422 (vB_BbaM-phi1422)
NC_002643.1	NC_002643.1	Bdellovibrio phage phiMH2K, complete genome [Contaminant]	4594	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;Gokushovirinae;Bdellomicrovirus;Bdellomicrovirus MH2K	Bdellovibrio phage phiMH2K	Bdellovibrio phage phiMH2K
AY526909.1	AY526909.1	Bordetella phage BIP-1, complete genome [Contaminant]	42638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rauchvirus;Rauchvirus BPP1	Bordetella phage BIP-1	Bordetella phage BIP-1
NC_015254.1	NC_015254.1	Brochothrix phage BL3, complete genome [Contaminant]	41518	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Brochothrix phage BL3	Brochothrix phage BL3
NC_019446.1	NC_019446.1	Brucella phage Tb, complete genome [Contaminant]	41148	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Perisivirus;Perisivirus Tb	Brucella phage Tb	Brucella phage Tb
NC_018283.1	NC_018283.1	Burkholderia phage AH2, complete genome [Contaminant]	58065	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Ahduovirus;Burkholderia virus AH2	Burkholderia phage vB_BceS_AH2	Burkholderia phage vB_BceS_AH2
NC_005262.3	NC_005262.3	Burkholderia cepacia phage Bcep22, complete genome [Contaminant]	63882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lessievirus;Lessievirus bcep22	Burkholderia phage Bcep22	Burkholderia phage Bcep22 (Burkholderia cenocepacia phage Bcep22)
NC_005342.2	NC_005342.2	Burkholderia phage Bcep43, complete genome [Contaminant]	48024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Naesvirus;Naesvirus bcep43	Burkholderia phage Bcep43	Burkholderia phage Bcep43
NC_005887.1	NC_005887.1	Burkholderia phage BcepC6B, complete genome [Contaminant]	42415	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ryyoungvirus;Ryyoungvirus bcepC6B	Burkholderia phage BcepC6B	Burkholderia phage BcepC6B
NC_012743.2	NC_012743.2	Burkholderia phage BcepIL02, complete genome [Contaminant]	62715	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lessievirus;Lessievirus bcepil02	Burkholderia phage BcepIL02	Burkholderia phage BcepIL02
NC_005091.2	NC_005091.2	Burkholderia phage BcepNazgul, complete genome [Contaminant]	57455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Nazgulvirus;Burkholderia virus BcepNazgul	Burkholderia phage BcepNazgul	Burkholderia phage BcepNazgul
NC_018278.1	NC_018278.1	Burkholderia phage KL1, complete genome [Contaminant]	42832	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kilunavirus;Kilunavirus KL1	Burkholderia phage vB_BceS_KL1	Burkholderia phage vB_BceS_KL1
NC_025422.1	NC_025422.1	Caulobacter phage Cr30, complete genome [Contaminant]	155997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Caulobacter phage Cr30	Caulobacter phage Cr30
NC_018280.1	NC_018280.1	Celeribacter phage P12053L, complete genome [Contaminant]	38889	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae;Cobavirinae;Siovirus;Siovirus coreense	Celeribacter phage P12053L	Celeribacter phage P12053L
NC_021802.1	NC_021802.1	Cellulophaga phage phi10:1, complete genome [Contaminant]	53664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Assiduviridae;Cebadecemvirus;Cebadecemvirus phi10una	Cellulophaga phage phi10:1	Cellulophaga phage phi10:1
NC_021791.1	NC_021791.1	Cellulophaga phage phi12:1, complete genome [Contaminant]	39148	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Helsingorvirus;Helsingorvirus Cba121	Cellulophaga phage phi12:1	Cellulophaga phage phi12:1
KC821615.1	KC821615.1	Cellulophaga phage phi12:3, complete genome [Contaminant]	39151	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Helsingorvirus;Helsingorvirus Cba121	Cellulophaga phage phi12:3	Cellulophaga phage phi12:3
KC821625.1	KC821625.1	Cellulophaga phage phi13:1, complete genome [Contaminant]	76666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Cbastvirus;Cbastvirus ST	Cellulophaga phage phi13:1	Cellulophaga phage phi13:1
NC_021803.1	NC_021803.1	Cellulophaga phage phi13:2, complete genome [Contaminant]	72369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pachyviridae;Baltivirus;Baltivirus phi13duo	Cellulophaga phage phi13:2	Cellulophaga phage phi13:2
NC_021806.1	NC_021806.1	Cellulophaga phage phi14:2, complete genome [Contaminant]	100418	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Asinivirinae;Akihdevirus;Akihdevirus balticus	Cellulophaga phage phi14:2	Cellulophaga phage phi14:2
NC_021795.1	NC_021795.1	Cellulophaga phage phi17:1, complete genome [Contaminant]	38776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Helsingorvirus;Helsingorvirus Cba171	Cellulophaga phage phi17:1	Cellulophaga phage phi17:1
NC_021798.1	NC_021798.1	Cellulophaga phage phi17:2, complete genome [Contaminant]	145343	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lightbulbvirus;Lightbulbvirus Cba172	Cellulophaga phage phi17:2	Cellulophaga phage phi17:2
NC_021790.1	NC_021790.1	Cellulophaga phage phi18:1, complete genome [Contaminant]	39189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Helsingorvirus;Helsingorvirus Cba181	Cellulophaga phage phi18:1	Cellulophaga phage phi18:1
KC821627.1	KC821627.1	Cellulophaga phage phi18:2, complete genome [Contaminant]	38476	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Helsingorvirus;Helsingorvirus Cba181	Cellulophaga phage phi18:2	Cellulophaga phage phi18:2
NC_021794.1	NC_021794.1	Cellulophaga phage phi18:3, complete genome [Contaminant]	71443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pachyviridae;Baltivirus;Baltivirus phi18tres	Cellulophaga phage phi18:3	Cellulophaga phage phi18:3
NC_021799.1	NC_021799.1	Cellulophaga phage phi19:1, complete genome [Contaminant]	57447	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Assiduviridae;Cellubavirus;Cellubavirus phi19una	Cellulophaga phage phi19:1	Cellulophaga phage phi19:1
NC_021789.1	NC_021789.1	Cellulophaga phage phi19:3, complete genome [Contaminant]	75994	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pachyviridae;Baltivirus;Baltivirus phi19tres	Cellulophaga phage phi19:3	Cellulophaga phage phi19:3
KC821630.1	KC821630.1	Cellulophaga phage phi3:1, complete genome [Contaminant]	54427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Cellulophaga phage phi3:1	Cellulophaga phage phi3:1
NC_021796.1	NC_021796.1	Cellulophaga phage phi38:1, complete genome [Contaminant]	72534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pervagoviridae;Callevirus;Callevirus phi38una	Cellulophaga phage phi38:1	Cellulophaga phage phi38:1
NC_021804.1	NC_021804.1	Cellulophaga phage phi39:1, complete genome [Contaminant]	28760	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Cellulophaga phage phi39:1	Cellulophaga phage phi39:1
NC_021788.1	NC_021788.1	Cellulophaga phage phi4:1, complete genome [Contaminant]	145865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lightbulbvirus;Lightbulbvirus Cba41	Cellulophaga phage phi4:1	Cellulophaga phage phi4:1
KC821612.1	KC821612.1	Cellulophaga phage phi40:1, complete genome [Contaminant]	72529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pervagoviridae;Callevirus	Cellulophaga phage phi40:1	Cellulophaga phage phi40:1
NC_021800.1	NC_021800.1	Cellulophaga phage phi46:1, complete genome [Contaminant]	34844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Cellulophaga phage phi46:1	Cellulophaga phage phi46:1
NC_021792.1	NC_021792.1	Cellulophaga phage phi46:3, complete genome [Contaminant]	72961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pachyviridae;Bacelvirus;Bacelvirus phi46tres	Cellulophaga phage phi46:3	Cellulophaga phage phi46:3
NC_020860.1	NC_020860.1	Cellulophaga phage phiSM genomic sequence [Contaminant]	44557	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Cellulophaga phage phiSM	Cellulophaga phage phiSM
NC_020842.1	NC_020842.1	Cellulophaga phage phiST genomic sequence [Contaminant]	79114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Cbastvirus;Cbastvirus ST	Cellulophaga phage phiST	Cellulophaga phage phiST
NC_025414.1	NC_025414.1	Citrobacter phage Miller, complete genome [Contaminant]	178171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Pseudotevenvirus;Pseudotevenvirus miller	Citrobacter phage Miller	Citrobacter phage Miller
NC_027293.1	NC_027293.1	Citrobacter phage Moogle, complete genome [Contaminant]	87999	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ounavirinae;Mooglevirus;Mooglevirus moogle	Citrobacter phage Moogle	Citrobacter phage Moogle
NC_019508.1	NC_019508.1	Clostridium phage phiCP34O, complete genome [Contaminant]	38309	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Clostridium phage phiCP34O	Clostridium phage phiCP34O
NC_011318.1	NC_011318.1	Clostridium phage 39-O, complete genome [Contaminant]	38753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Clostridium phage phiCP39-O	Clostridium phage phiCP39-O
KM983334.1	KM983334.1	Clostridium phage phiCTC2B, complete genome [Contaminant]	38243	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Clostridium phage phiCTC2B	Clostridium phage phiCTC2B
NC_018088.1	NC_018088.1	Colwellia phage 9A, complete genome [Contaminant]	104936	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Franklinbayvirus;Franklinbayvirus fv9A	Colwellia phage 9A	Colwellia phage 9A
NC_018276.1	NC_018276.1	Croceibacter phage P2559S, complete genome [Contaminant]	44988	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Croceibacter phage P2559S	Croceibacter phage P2559S
NC_023614.1	NC_023614.1	Croceibacter phage P2559Y, complete genome [Contaminant]	43153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Croceibacter phage P2559Y	Croceibacter phage P2559Y
NC_017974.1	NC_017974.1	Cronobacter phage CR3, complete genome [Contaminant]	149273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Vequintavirinae;Certrevirus;Certrevirus CR3	Cronobacter phage CR3	Cronobacter phage CR3
NC_019400.1	NC_019400.1	Cronobacter phage vB_CsaM_GAP31, complete genome [Contaminant]	147940	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Vequintavirinae;Seunavirus;Seunavirus GAP31	Cronobacter phage vB_CsaM_GAP31	Cronobacter phage vB_CsaM_GAP31
NC_019401.1	NC_019401.1	Cronobacter phage vB_CsaM_GAP32, complete genome [Contaminant]	358663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mimasvirus;Mimasvirus GAP32	Cronobacter phage vB_CsaM_GAP32	Cronobacter phage vB_CsaM_GAP32
DQ115807.1	DQ115807.1	Cyanobacteria phage AS-1 contig_0 genomic sequence [Contaminant]	2782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Cyanobacteria phage AS-1	Cyanobacteria phage AS-1
NC_021071.1	NC_021071.1	Cyanophage P-RSM1 genomic sequence [Contaminant]	177211	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Emcearvirus;Emcearvirus gerard	Cyanophage P-RSM1	Cyanophage P-RSM1
NC_020855.1	NC_020855.1	Cyanophage P-RSM6 genomic sequence [Contaminant]	192497	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae	Cyanophage P-RSM6	Cyanophage P-RSM6
HQ317391.1	HQ317391.1	Cyanophage S-SSM6a genomic sequence [Contaminant]	232883	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Lipsvirus	Cyanophage S-SSM6a	Cyanophage S-SSM6a
NC_019516.1	NC_019516.1	Cyanophage S-TIM5, complete genome [Contaminant]	161440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Aurunvirus;Aurunvirus STIM5	Cyanophage S-TIM5	Cyanophage S-TIM5
HQ634190.1	HQ634190.1	Cyanophage Syn2 genomic sequence [Contaminant]	175596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae;Pontusvirus;Pontusvirus syn19	Cyanophage Syn2	Cyanophage Syn2
NC_019544.1	NC_019544.1	Deep-sea thermophilic phage D6E, complete genome [Contaminant]	49335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Deep-sea thermophilic phage D6E	Deep-sea thermophilic phage D6E
NC_025452.1	NC_025452.1	Dickeya phage RC-2014, complete genome [Contaminant]	155346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ackermannviridae;Aglimvirinae;Limestonevirus;Limestonevirus RC2014	Dickeya phage RC-2014	Dickeya phage RC-2014
JF412294.1	JF412294.1	EBPR podovirus 1, partial sequence [Contaminant]	36122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	EBPR podovirus 1	EBPR podovirus 1
JF412295.1	JF412295.1	EBPR podovirus 2, partial sequence [Contaminant]	40628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	EBPR podovirus 2	EBPR podovirus 2
JF412296.1	JF412296.1	EBPR podovirus 3, partial sequence [Contaminant]	38991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	EBPR podovirus 3	EBPR podovirus 3 (EPV3)
JF412302.1	JF412302.1	EBPR siphovirus 1, partial sequence [Contaminant]	54466	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	EBPR siphovirus 1	EBPR siphovirus 1 (ESV1)
JF412297.1	JF412297.1	EBPR siphovirus 2, partial sequence [Contaminant]	48954	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	EBPR siphovirus 2	EBPR siphovirus 2 (ESV2)
NC_026611.1	NC_026611.1	Edwardsiella phage GF-2 DNA, complete sequence [Contaminant]	43129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gofduovirus;Gofduovirus GF2	Edwardsiella phage GF-2	Edwardsiella phage GF-2
NC_020082.1	NC_020082.1	Edwardsiella phage MSW-3 DNA, complete genome [Contaminant]	42746	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Yokohamavirus;Yokohamavirus MSW3	Edwardsiella phage MSW-3	Edwardsiella phage MSW-3
NC_026665.1	NC_026665.1	Eel River basin pequenovirus isolate c22476, complete genome [Contaminant]	6083	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	Eel River basin pequenovirus	Eel River basin pequenovirus
NC_023561.1	NC_023561.1	Enterobacter phage PG7, complete genome [Contaminant]	173276	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Tevenvirinae;Karamvirus;Karamvirus pg7	Enterobacter phage PG7	Enterobacter phage PG7
NC_009514.1	NC_009514.1	Phage cdtI DNA, complete genome [Contaminant]	47021	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	Enterobacteria phage cdtI	Enterobacteria phage cdtI
J02448.1	J02448.1	Bacteriophage f1, complete genome [Contaminant]	6407	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Inovirus;Inovirus M13	Enterobacteria phage f1	Enterobacteria phage f1
NC_025824.1	NC_025824.1	Escherichia phage fd strain 478, complete genome [Contaminant]	6408	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Inovirus;Inovirus M13	Escherichia phage fd	Escherichia phage fd
NC_025425.1	NC_025425.1	Enterobacteria phage GEC-3S complete genome [Contaminant]	163424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Krischvirus;Krischvirus gec3s	Enterobacteria phage GEC-3S	Enterobacteria phage GEC-3S
NC_019711.1	NC_019711.1	Enterobacteria phage HK629, complete genome [Contaminant]	47288	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lambdavirus;Lambdavirus HK629	Escherichia phage HK629	Escherichia phage HK629
NC_018855.1	NC_018855.1	Escherichia phage HX01, complete genome [Contaminant]	169158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae;Tevenvirinae;Mosigvirus;Mosigvirus HX01	Escherichia phage HX01	Escherichia phage HX01
KF591601.1	KF591601.1	Enterobacteria phage IME_EC2, complete genome [Contaminant]	41510	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Murrayvirus;Murrayvirus EC2	Enterobacteria phage IME_EC2	Enterobacteria phage IME_EC2
NC_003287.2	NC_003287.2	Enterobacteria phage M13, complete genome [Contaminant]	6407	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Inovirus	Inovirus M13	Inovirus M13
NC_023693.1	NC_023693.1	Enterobacteria phage phi92, complete genome [Contaminant]	148612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Stephanstirmvirinae;Justusliebigvirus;Justusliebigvirus phi92	Escherichia phage phi92	Escherichia phage phi92
